2014-01-11 21:24:33 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 24]
2014-01-18 11:07:27 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/minamikata/result.ctp, line 8]
2014-01-18 11:09:09 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/minamikata/result.ctp, line 8]
2014-01-18 11:19:06 Notice: Notice (8): Undefined index: category in [/Applications/MAMP/htdocs/club86/app/views/minamikata/record.ctp, line 8]
2014-01-18 11:19:26 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/minamikata/result.ctp, line 8]
2014-01-18 11:22:08 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/minamikata/result.ctp, line 8]
2014-01-18 11:22:13 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/minamikata/result.ctp, line 8]
2014-01-18 11:23:17 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/minamikata/result.ctp, line 8]
2014-01-18 16:12:11 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 11]
2014-01-25 10:22:58 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 11]
2014-01-25 10:23:49 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 17]
2014-01-25 10:52:31 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 11]
2014-01-25 10:59:51 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 11]
2014-01-25 16:14:03 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 9]
2014-01-25 16:19:23 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 9]
2014-01-25 16:19:52 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 9]
2014-01-25 16:20:21 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 9]
2014-01-25 16:20:41 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 9]
2014-01-25 16:21:10 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 9]
2014-01-25 16:21:43 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 9]
2014-01-25 16:22:50 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 9]
2014-01-25 16:23:47 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 9]
2014-01-25 16:24:11 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 9]
2014-01-25 16:26:05 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 9]
2014-01-25 16:26:47 Notice: Notice (8): Undefined variable: marriage in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 11]
2014-01-25 17:04:39 Notice: Notice (8): Undefined index: neta in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 18]
2014-01-25 17:04:39 Notice: Notice (8): Undefined property: blockController::$Masami in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 36]
2014-01-25 17:08:14 Notice: Notice (8): Undefined index: media in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 16]
2014-01-25 17:08:14 Notice: Notice (8): Undefined property: blockController::$Masami in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 36]
2014-01-25 17:08:16 Notice: Notice (8): Undefined index: media in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 16]
2014-01-25 17:08:16 Notice: Notice (8): Undefined property: blockController::$Masami in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 36]
2014-01-25 17:09:03 Notice: Notice (8): Undefined property: blockController::$Masami in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 36]
2014-01-25 17:12:12 Notice: Notice (8): Undefined property: blockController::$Masami in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 36]
2014-01-25 17:14:43 Notice: Notice (8): Undefined property: blockController::$Masami in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 36]
2014-01-26 20:52:24 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 17]
2014-01-26 21:03:44 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-26 21:04:16 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
